date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:32:33	44282/44282	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202016%2015:32:18%20GMT	http://corpthemes.com/html/isuzu/index.html?storefront=envato-elements	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/index04b9.html	(from )
11:32:35	67/67	---M--	200	added ('OK')	text/plain	date:Wed,%2016%20Dec%202020%2008:02:34%20GMT	http://corpthemes.com/robots.txt		(from )
11:32:36	46590/46590	---M--	200	added ('OK')	text/css	date:Fri,%2016%20Dec%202016%2021:30:02%20GMT	http://corpthemes.com/html/isuzu/stylesheets/style.css	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/stylesheets/style.css	(from http://corpthemes.com/html/isuzu/index.html?storefront=envato-elements)
11:32:36	141622/141622	---M--	200	added ('OK')	text/css	date:Sat,%2015%20Oct%202016%2022:07:22%20GMT	http://corpthemes.com/html/isuzu/stylesheets/bootstrap.css	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/stylesheets/bootstrap.css	(from http://corpthemes.com/html/isuzu/index.html?storefront=envato-elements)
11:32:38	0/0	---M--	200	added ('OK')	text/css	date:Sat,%2027%20Jun%202015%2014:35:26%20GMT	http://corpthemes.com/html/isuzu/stylesheets/colors/color1.css	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/stylesheets/colors/color1.css	(from http://corpthemes.com/html/isuzu/index.html?storefront=envato-elements)
11:32:38	6429/6429	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Dec%202016%2015:41:54%20GMT	http://corpthemes.com/html/isuzu/stylesheets/responsive.css	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/stylesheets/responsive.css	(from http://corpthemes.com/html/isuzu/index.html?storefront=envato-elements)
11:32:38	69747/69747	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Nov%202014%2003:11:52%20GMT	http://corpthemes.com/html/isuzu/stylesheets/animate.css	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/stylesheets/animate.css	(from http://corpthemes.com/html/isuzu/index.html?storefront=envato-elements)
11:32:38	1140/1140	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Oct%202016%2020:53:46%20GMT	http://corpthemes.com/html/isuzu/icon/apple-touch-icon-48-precomposed.png	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/icon/apple-touch-icon-48-precomposed.png	(from http://corpthemes.com/html/isuzu/index.html?storefront=envato-elements)
11:32:39	1140/1140	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Oct%202016%2020:53:42%20GMT	http://corpthemes.com/html/isuzu/icon/apple-touch-icon-32-precomposed.png	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/icon/apple-touch-icon-32-precomposed.png	(from http://corpthemes.com/html/isuzu/index.html?storefront=envato-elements)
11:32:39	1056/1056	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Oct%202016%2020:53:22%20GMT	http://corpthemes.com/html/isuzu/icon/favicon.png	C:/Users/off/Desktop/httTrack/14/corpthemes.com/html/isuzu/icon/favicon.png	(from http://corpthemes.com/html/isuzu/index.html?storefront=envato-elements)
